acct_id,hq_id,company,userDomain,city,region,countryCode,revenue_mil_usd,total_employees,naic3,naic6,isISP,usageType,datesCount,domainsCount,hitsSum,pageViewsSum,uniqueViewsSum,clicks,clickDates,hits_iabCat_IAB_1,hits_iabCat_IAB_2,hits_iabCat_IAB_3,hits_iabCat_IAB_4,hits_iabCat_IAB_5,hits_iabCat_IAB_6,hits_iabCat_IAB_7,hits_iabCat_IAB_8,hits_iabCat_IAB_9,hits_iabCat_IAB_10,hits_iabCat_IAB_11,hits_iabCat_IAB_12,hits_iabCat_IAB_13,hits_iabCat_IAB_14,hits_iabCat_IAB_15,hits_iabCat_IAB_16,hits_iabCat_IAB_17,hits_iabCat_IAB_18,hits_iabCat_IAB_19,hits_iabCat_IAB_20,hits_iabCat_IAB_21,hits_iabCat_IAB_22,hits_iabCat_IAB_23,hits_iabCat_IAB_24,hits_iabCat_IAB_25,hits_iabCat_IAB_26
1-100209E,1-106FB9J,REDACTED,REDACTED,Santiago,Region Metropolitana de Santiago,CL,1635.606,4119,551,551112,0,COM,10,12,32,42,36,0,0,0,2,0,14,1,0,0,0,0,0,0,1,1,0,1,0,0,0,12,0,0,0,0,0,0,0
1-10026R2,1-10026R2,REDACTED,REDACTED,Alhambra,California,US,24.0159,70,423,423910,0,COM,21,37,79,249,94,0,0,3,1,2,0,3,0,0,0,16,0,0,13,6,0,0,0,1,1,25,0,1,7,0,0,0,0
1-1002B0E,1-1002B0E,REDACTED,REDACTED,Okemos,Michigan,US,1.1389,70,611,611620,0,,3,3,21,89,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0
1-1002F6I,1-1002F6I,REDACTED,REDACTED,San Francisco,California,US,29.02384,100,238,238000,0,COM,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1-1002G46,1-1002G46,REDACTED,REDACTED,Fresno,California,US,4,99,,,0,COM,19,34,160,301,169,0,0,2,3,0,0,0,0,0,0,6,0,5,27,9,0,0,0,0,5,100,0,0,0,0,3,0,0
1-1002HOP,1-1002HOP,REDACTED,REDACTED,Kearny,New Jersey,US,27.8661,250,,,0,COM,16,37,74,178,126,0,0,8,3,0,0,1,0,0,0,4,3,0,21,9,1,0,0,0,2,17,2,1,1,0,0,0,1
1-1002IX0,1-1002IX0,REDACTED,REDACTED,Harrisburg,Pennsylvania,US,9,65,423,423310,0,COM,2,3,3,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1002PBB,1-1002PBB,REDACTED,REDACTED,Billings,Montana,US,6.5081,90,541,541618,0,COM,2,2,4,17,9,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1002Y8V,1-1002Y8V,REDACTED,REDACTED,Oak Brook,Illinois,US,16.8876,110,541,541512,0,COM,20,249,1498,7853,2582,0,0,97,67,70,11,16,2,38,3,48,32,6,544,189,5,11,0,55,40,172,2,62,15,0,10,0,3
1-1003AC9,1-1003AC9,REDACTED,REDACTED,Santiago,Region Metropolitana de Santiago,CL,37.82785,80,541,541910,0,COM,22,25,119,155,133,0,0,2,1,2,7,3,0,0,0,2,0,0,2,0,0,8,0,2,1,17,0,2,70,0,0,0,0
1-1003HX0,1-1003HX0,REDACTED,REDACTED,Santiago,Region Metropolitana de Santiago,CL,0.4614,15,541,541860,0,,3,2,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0
1-1003S31,1-1003S31,REDACTED,REDACTED,Santiago,Region Metropolitana de Santiago,CL,1.4737,40,321,321999,0,COM,17,168,2269,5344,3657,0,0,31,19,9,326,155,0,0,0,91,1,0,172,92,0,210,0,44,6,823,0,1,289,0,0,0,0
1-1004FWL,1-1004FWL,REDACTED,REDACTED,Santiago,Region Metropolitana de Santiago,CL,9.2464,200,924,924110,0,COM,4,3,8,8,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
1-1004IUE,1-1004IUE,REDACTED,REDACTED,Santiago,Chile,CL,13.5824,140,523,523120,0,COM,18,19,130,487,157,0,0,0,0,0,0,4,0,0,0,0,0,0,18,20,0,12,0,7,0,67,0,0,2,0,0,0,0
1-1004ORI,1-12B1N0D,REDACTED,REDACTED,Santiago,Chile,CL,4.8687,150,523,523930,0,COM,9,17,93,106,98,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,4,0,3,2,34,0,0,44,0,0,0,0
1-1005716,1-1005716,REDACTED,REDACTED,West Palm Beach,Florida,US,6.0101,70,531,531210,0,COM,8,13,29,43,38,0,0,4,0,0,0,0,0,0,0,0,1,0,3,7,0,2,0,0,1,10,0,0,0,0,0,0,1
1-1006027,1-1006027,REDACTED,REDACTED,Metuchen,New Jersey,US,14.4483,85,238,238210,0,COM,8,10,22,42,40,0,0,1,0,0,0,0,0,0,0,2,2,0,3,2,0,0,0,0,5,0,0,0,7,0,0,0,0
1-10063BZ,1-10063BZ,REDACTED,REDACTED,Tampa,Florida,US,9.63,55,321,321920,0,COM,12,24,87,312,138,0,0,5,1,9,0,0,0,0,0,3,7,0,7,19,0,1,0,1,0,16,0,0,9,0,9,0,0
1-10067BF,1-10067BF,REDACTED,REDACTED,Crystal Springs,Mississippi,US,58.7523,90,448,448190,0,,4,7,18,22,18,0,0,1,3,0,2,0,0,0,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10067BF,1-10067BF,REDACTED,REDACTED,Lucedale,Mississippi,US,58.7523,90,448,448190,0,,10,17,47,196,90,0,0,5,3,0,0,1,0,0,0,0,0,0,9,5,0,0,0,0,2,14,0,0,0,0,8,0,0
1-100689F,1-100689F,REDACTED,REDACTED,Cambridge,Massachusetts,US,12.1706,55,531,531210,0,,15,66,236,466,316,0,0,21,1,15,0,2,0,3,0,6,11,0,67,11,0,2,0,33,4,31,0,7,20,0,2,0,0
1-10069RA,1-10069RA,REDACTED,REDACTED,Alexandria,Louisiana,US,3.1413,85,561,561720,0,COM,25,80,265,442,293,0,0,12,10,8,3,2,0,4,0,21,5,1,98,22,0,2,0,15,7,41,0,11,2,0,1,0,0
1-1006DBD,1-1006DBD,REDACTED,REDACTED,Freehold,New Jersey,US,13.6238,57,813,813910,0,ORG,5,6,9,18,10,0,0,0,0,0,2,0,0,0,0,2,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1-1006DK5,1-1006DK5,REDACTED,REDACTED,Hatch,New Mexico,US,14.2095,15,111,111219,0,COM,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1006E6I,1-1006E6I,REDACTED,REDACTED,Santa Clarita,California,US,22.8246,80,236,236220,0,,22,26,113,340,239,0,0,11,9,0,15,0,2,0,0,5,0,0,10,0,1,0,0,0,2,36,0,0,19,0,1,0,2
1-1006EXA,1-1006EXA,REDACTED,REDACTED,Los Angeles,California,US,27.7623,65,238,238910,0,COM,4,5,11,22,13,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,1,0,0,0,3,0,0,0,0,0,0,0
1-1006LO3,1-1006LO3,REDACTED,REDACTED,Poynette,Wisconsin,US,20.6256,67,332,332313,0,COM,15,23,56,102,75,0,0,9,9,0,2,0,0,0,4,3,3,0,14,0,0,0,0,0,3,7,0,0,1,0,1,0,0
1-1006PMZ,1-1006PMZ,REDACTED,REDACTED,York,Pennsylvania,US,2.5493,70,331,331210,0,COM,11,16,31,44,36,0,0,1,3,0,0,2,0,0,0,2,0,0,7,0,0,0,0,5,0,7,0,3,1,0,0,0,0
1-1006RB4,4-1ASE-333,REDACTED,REDACTED,Stamford,Connecticut,US,567.154,1068,522,522390,0,COM,14,28,62,174,135,0,0,2,14,0,3,1,0,0,0,2,2,0,11,10,2,0,0,3,2,5,0,1,4,0,0,0,0
1-1006RB4,4-1ASE-333,REDACTED,REDACTED,Stamford,Connecticut,US,567.154,1068,522,522390,0,COM,29,108,482,1743,1038,0,0,20,23,5,1,32,0,11,0,50,7,0,125,37,2,11,0,6,1,52,0,12,87,0,0,0,0
1-1006WCW,1-1006WCW,REDACTED,REDACTED,Saint George,Utah,US,10.7633,175,722,722513,0,COM,10,5,18,60,51,0,0,1,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0
1-1006WF5,1-I5OYX,REDACTED,REDACTED,Southfield,Michigan,US,465.0894,2000,441,441110,0,COM,11,14,67,191,163,0,0,11,32,0,0,0,0,0,0,0,3,0,5,3,0,0,0,0,6,5,0,0,1,0,1,0,0
1-1006X53,1-1006X53,REDACTED,REDACTED,Paramus,New Jersey,US,13.8426,66,561,561990,0,,19,50,122,345,157,0,0,9,0,0,0,3,0,4,0,30,10,0,29,5,4,0,0,5,4,14,0,0,2,0,2,0,1
1-10071O1,1-10071O1,REDACTED,REDACTED,New York City,New York,US,5.7504,40,531,531210,0,COM,9,9,27,98,30,0,0,2,0,1,0,0,0,0,0,1,3,0,2,0,1,0,0,0,0,9,1,6,0,0,1,0,0
1-10076NJ,4-1N5I-31543,REDACTED,REDACTED,Midvale,Utah,US,388,1000,324,324191,0,,23,35,161,584,308,0,0,3,14,0,0,3,0,1,1,3,3,0,69,2,0,1,0,9,3,28,0,19,1,0,1,0,0
1-10076XT,1-FABD7,REDACTED,REDACTED,Washington,District of Columbia,US,1621.862,1673,524,524210,0,COM,2,2,4,7,7,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-10076XT,1-FABD7,REDACTED,REDACTED,Washington,District of Columbia,US,1621.862,1673,524,524210,0,,1,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1007CYD,1-I1A02W,REDACTED,REDACTED,Charlotte,North Carolina,US,12.899,65,323,323111,0,COM,18,27,79,474,214,0,0,2,10,0,1,1,0,0,0,5,1,0,4,18,0,1,0,1,4,24,0,0,7,0,0,0,0
1-1007FMT,1-1007FMT,REDACTED,REDACTED,Redmond,Washington,US,2,70,722,722511,0,COM,3,3,3,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1007XLR,1-1007XLR,REDACTED,REDACTED,Cheyenne,Wyoming,US,6.9997,65,541,541211,0,COM,29,78,325,1048,516,0,0,45,22,1,0,7,1,8,1,4,2,0,46,15,5,2,0,37,20,97,1,2,2,0,1,0,6
1-1007YFY,1-F4BLFL,REDACTED,REDACTED,Carrollton,Texas,US,201.015,900,333,333924,0,,8,90,477,1164,551,0,0,9,19,3,7,3,0,1,1,83,10,0,73,29,0,15,0,6,4,194,0,9,7,0,2,0,2
1-1008445,1-1008445,REDACTED,REDACTED,Vero Beach,Florida,US,1.4,80,711,711000,0,COM,28,63,172,1192,209,0,0,24,0,0,3,5,0,1,0,11,2,0,39,5,2,0,0,30,6,41,0,1,0,0,1,0,1
